Survived,Pclass,Sex
0,3,male
1,1,female
1,3,female
1,1,female
0,3,male
0,1,male
0,3,male
1,3,female
1,2,female
1,3,female
1,1,female
0,3,male
0,3,male
0,3,female
1,2,female
0,3,male
0,3,female
0,2,male
1,2,male
1,3,female
1,1,male
0,3,female
1,3,female
0,1,male
0,1,male
0,2,male
0,1,male
0,1,male
0,3,male
0,3,female
1,3,female
0,3,female
0,2,female
1,2,female
1,3,female
0,3,female
0,3,male
0,3,male
1,1,female
1,2,female
0,1,male
1,2,female
0,3,male
1,2,female
0,3,male
0,3,male
1,1,female
0,1,male
0,3,male
1,2,female
0,3,male
1,3,female
0,3,male
0,2,male
0,3,female
0,2,male
0,3,male
1,3,male
0,3,male
1,2,male
1,3,female
0,3,male
1,3,male
0,1,male
1,2,female
1,3,female
0,3,male
1,1,female
0,3,male
0,3,male
0,3,male
0,1,male
0,3,male
0,3,male
0,1,male
1,1,male
1,2,female
0,2,male
0,3,female
0,1,male
0,3,male
0,3,male
0,3,male
1,3,female
0,3,male
0,1,male
0,3,female
0,3,male
0,3,female
0,3,female
0,3,male
0,3,male
0,2,male
0,1,male
0,3,female
0,2,male
0,2,male
1,2,female
0,1,male
1,3,male
1,3,male
0,3,male
0,3,male
0,3,male
0,3,female
1,2,female
0,2,male
0,2,male
1,1,female
0,1,male
0,3,male
0,1,male
1,3,female
1,3,female
0,3,male
0,2,male
0,2,male
1,3,male
0,3,female
0,2,male
0,2,male
0,2,male
1,1,female
0,3,male
0,3,male
0,1,male
1,3,female
0,3,male
0,3,male
1,2,female
0,3,male
0,3,male
0,3,male
1,3,male
0,3,female
0,3,male
0,1,male
0,3,male
1,3,female
0,3,male
0,1,male
0,3,male
0,1,female
0,2,male
0,3,male
0,3,male
1,2,male
1,3,female
1,1,male
0,3,male
0,3,male
1,2,female
0,2,male
1,3,female
1,2,male
1,1,female
1,1,female
0,3,male
0,2,female
0,3,male
0,3,male
0,3,male
1,3,male
0,3,female
0,3,male
1,3,male
1,3,female
1,1,male
0,3,male
1,2,female
0,3,male
0,2,male
1,1,female
1,3,female
0,2,male
1,1,female
0,2,male
1,3,male
0,2,male
0,3,male
1,1,male
0,3,male
1,2,male
0,3,male
0,2,male
1,1,female
0,3,male
0,2,male
1,3,female
0,2,male
0,2,male
1,2,female
0,2,male
0,2,male
0,2,male
0,3,male
0,3,male
0,1,male
0,3,female
1,2,female
1,1,male
0,2,male
0,3,female
0,1,male
0,3,male
0,3,female
1,3,female
1,1,female
1,1,female
1,2,female
1,3,male
0,1,male
0,1,male
0,2,male
0,3,male
1,3,male
1,1,female
1,1,female
1,3,male
1,2,female
0,1,male
1,1,female
0,3,female
0,3,male
1,3,female
0,3,male
0,3,male
0,3,male
1,3,male
0,3,male
1,3,male
0,3,male
1,2,male
1,3,female
1,1,female
1,1,female
0,2,male
0,3,female
0,3,male
0,3,male
0,1,female
1,1,female
0,3,male
1,1,male
1,1,female
0,2,male
1,1,female
1,1,female
1,1,female
0,2,female
0,3,male
0,2,male
1,3,female
1,2,female
0,2,male
1,1,female
1,1,female
0,3,male
0,3,male
1,2,female
1,2,female
1,1,female
0,3,male
1,2,female
1,3,female
1,1,female
0,1,male
0,1,male
0,3,male
0,1,male
1,1,female
1,3,male
0,1,male
1,2,male
1,1,female
0,2,male
0,2,male
0,2,male
1,2,female
1,2,female
1,3,male
0,3,male
0,3,male
0,3,male
0,3,male
0,3,male
1,1,female
0,2,female
0,3,male
0,2,male
0,3,female
0,3,male
0,3,male
1,1,female
1,1,female
1,1,male
0,3,male
0,3,male
0,1,male
0,3,female
1,3,female
0,1,male
0,3,male
0,3,male
1,1,female
1,3,female
0,3,male
1,1,female
0,2,male
0,3,male
1,2,female
1,2,female
1,1,male
1,3,male
0,3,male
1,1,female
1,3,female
0,3,male
0,3,female
0,2,male
0,2,male
1,2,female
1,3,male
0,3,male
0,3,female
0,3,male
0,3,female
0,2,male
0,3,male
1,2,male
0,3,male
1,1,female
1,3,male
1,2,female
1,2,female
0,2,male
0,3,female
0,3,male
0,3,male
0,3,female
0,3,male
1,2,female
1,2,female
1,3,male
1,1,male
1,2,female
0,3,male
0,1,male
1,1,female
0,3,female
1,2,female
0,1,male
0,2,male
1,2,female
0,3,male
0,3,male
1,2,female
1,1,male
1,2,female
1,1,male
1,3,female
1,1,male
0,2,male
0,1,male
1,1,male
1,3,male
0,1,male
1,2,female
1,1,male
0,3,male
0,1,male
0,2,male
0,3,male
0,1,male
1,3,female
0,3,male
1,2,female
1,2,female
0,3,female
0,2,male
0,3,male
0,3,male
1,3,female
0,3,male
0,3,male
1,3,female
1,1,male
1,1,female
0,1,male
0,3,male
1,3,male
0,3,male
0,1,male
0,1,male
0,3,male
1,1,female
0,1,female
0,3,male
0,3,male
0,3,female
0,3,female
1,1,female
0,1,male
1,2,female
0,3,male
1,3,male
1,3,male
1,1,male
1,1,female
0,3,male
0,1,male
1,2,female
1,2,female
0,3,male
1,1,female
0,3,male
1,1,female
0,3,male
1,2,female
0,3,male
0,2,male
1,2,female
0,3,male
0,3,female
1,2,female
0,1,male
1,1,female
1,1,female
1,1,female
0,3,female
0,3,female
1,2,male
0,1,male
0,1,male
1,2,female
0,3,male
1,2,male
1,1,male
0,2,male
1,3,male
1,3,female
0,1,male
1,1,female
1,1,female
1,3,female
0,3,male
0,2,male
0,3,male
0,3,male
0,3,female
1,3,male
1,2,male
1,1,female
1,1,male
0,3,male
0,3,male
1,2,female
1,1,female
1,3,male
1,2,female
1,1,female
0,2,male
0,1,male
1,1,female
0,2,male
1,1,male
0,3,male
0,3,male
1,1,female
0,3,male
0,2,male
0,3,male
0,3,male
1,1,male
1,2,female
0,3,male
1,1,male
0,3,male
0,3,male
1,1,male
1,2,female
1,1,female
0,3,female
0,3,male
1,2,female
0,3,male
0,3,female
1,2,female
0,2,male
0,3,male
1,1,male
1,3,male
0,3,male
0,3,male
0,1,male
0,2,male
1,1,female
0,3,male
1,1,male
0,3,male
